# Radial distribution function:
# "Pair separation distance" g(r)
0.025 0.0 
0.075 0.0 
0.125 0.0 
0.175 0.0 
0.225 0.0 
0.275 0.0 
0.325 0.0 
0.375 0.0 
0.425 0.0 
0.475 0.0 
0.525 0.0 
0.575 0.0 
0.625 0.0 
0.675 0.0 
0.725 0.0 
0.775 0.0 
0.825 0.0 
0.875 0.0 
0.925 0.0 
0.975 0.0 
1.025 0.0 
1.075 0.0 
1.125 0.0 
1.175 0.0 
1.225 0.0 
1.275 0.0 
1.325 0.0 
1.375 0.0 
1.425 0.0 
1.475 0.0 
1.525 0.0 
1.575 0.0 
1.625 0.0 
1.675 0.0 
1.725 0.0 
1.775 0.0 
1.825 0.0 
1.875 0.0 
1.925 0.0 
1.975 0.0 
2.025 0.0 
2.075 0.0 
2.125 0.0 
2.175 0.0 
2.225 0.0 
2.275 0.0 
2.325 0.0 
2.375 0.0 
2.425 0.0 
2.475 0.0 
2.525 0.0 
2.575 0.0 
2.625 0.0 
2.675 0.0 
2.725 0.0 
2.775 0.0 
2.825 0.0276253119 
2.875 0.133364055 
2.925 0.5153747195 
2.975 2.4909858982 
3.025 5.324600884 
3.075 11.3549332127 
3.125 20.4538148901 
3.175 28.2129635282 
3.225 39.0036380528 
3.275 43.7211802698 
3.325 43.792151692 
3.375 37.4331525414 
3.425 27.7404131334 
3.475 18.2938891362 
3.525 10.8765305015 
3.575 6.0030989804 
3.625 3.0367643996 
3.675 1.9915622073 
3.725 1.1440074519 
3.775 1.2067290659 
3.825 1.537044851 
3.875 2.5988383022 
3.925 3.0625557971 
3.975 5.7068800912 
4.025 7.4575922798 
4.075 9.4132803274 
4.125 9.0309822096 
4.175 9.4104462166 
4.225 7.4846166389 
4.275 5.4648273379 
4.325 4.2548629225 
4.375 2.6953207047 
4.425 1.4862716439 
4.475 0.8036883898 
4.525 0.7214207814 
4.575 0.3897361012 
4.625 0.2988998697 
4.675 0.3732413792 
4.725 0.3950096857 
4.775 0.4834757725 
4.825 0.5397986147 
4.875 1.2245494168 
4.925 1.7997178419 
4.975 3.1266028719 
5.025 4.6450602197 
5.075 6.8138550927 
5.125 8.9143311719 
5.175 10.2165232225 
5.225 12.0327750145 
5.275 11.6472819025 
5.325 10.5898576978 
5.375 9.6458929269 
5.425 9.5962599114 
5.475 9.988124251 
5.525 10.7398662175 
5.575 11.9738887706 
5.625 12.2497264171 
5.675 12.2470426763 
5.725 10.8972447139 
5.775 9.6384292911 
5.825 8.2910890593 
5.875 7.1860393486 
5.925 5.7589788124 
5.975 4.6069755313 
6.025 3.5833633577 
6.075 2.5210001212 
6.125 2.2684443974 
6.175 1.9369746728 
6.225 2.3042490046 
6.275 2.6820149048 
6.325 3.6097191248 
6.375 4.9637959607 
6.425 6.2701087425 
6.475 8.2350356936 
6.525 11.4027496461 
6.575 13.9278321617 
6.625 16.0541891577 
6.675 18.5064220886 
6.725 18.1542589599 
6.775 16.5375771858 
6.825 14.3271760967 
6.875 10.8263796616 
6.925 7.7190647812 
6.975 4.9305349707 
7.025 3.1316913964 
7.075 1.8939529736 
7.125 1.4809428221 
7.175 0.9892859548 
7.225 1.2586189309 
7.275 1.1705609901 
7.325 1.475138969 
7.375 2.1240317581 
7.425 2.6553939044 
7.475 3.7958276981 
7.525 4.3529394784 
7.575 5.0756468591 
7.625 5.4795138199 
7.675 5.0415574816 
7.725 4.5664153376 
7.775 4.3619865214 
7.825 4.1443896961 
7.875 4.4794365879 
7.925 5.5183341045 
7.975 6.6314362001 
8.025 7.6787975605 
8.075 8.7944631674 
8.125 9.1875118506 
8.175 9.398769621 
8.225 8.7568910719 
8.275 8.171649364 
8.325 8.1087792468 
8.375 7.308150251 
8.425 7.5322734976 
8.475 7.5971370597 
8.525 8.1514163822 
8.575 8.2485295431 
8.625 8.185772721 
8.675 8.627809783 
8.725 8.7609005599 
8.775 8.4179692862 
8.825 8.7135164889 
8.875 8.6603983569 
8.925 8.3449773602 
8.975 7.4147139134 
9.025 6.8022468522 
9.075 6.0368114546 
9.125 5.4624544288 
9.175 4.7640346346 
9.225 4.5467255461 
9.275 3.9852625379 
9.325 3.9679944145 
9.375 3.6373061066 
9.425 3.4747193368 
9.475 3.2662364992 
9.525 3.5819700421 
9.575 4.0689020781 
9.625 4.7906754892 
9.675 5.3348317123 
9.725 6.2731973862 
9.775 6.8875583028 
9.825 6.9546723352 
9.875 6.897989087 
9.925 6.6070841097 
9.975 6.2330189299 
